epoch,train_loss,val_loss,train_reg,val_reg,train_edge,val_edge,train_tv,val_tv,lr
12,0.017152,0.010664,0.015347,0.010069,0.009022,0.002975,0.003782,0.003823,7.81250000e-07
1,0.029601,0.014234,0.015564,0.011524,0.070189,0.013548,0.000591,0.001003,1.00000000e-04
2,0.022930,0.014406,0.022142,0.011473,0.003938,0.014668,0.000989,0.000662,1.00000000e-04
3,0.022486,0.013187,0.020982,0.012873,0.007521,0.001571,0.000662,0.000637,1.00000000e-04
4,0.021659,0.013166,0.020815,0.012895,0.004222,0.001358,0.000577,0.000649,1.00000000e-04
5,0.021177,0.013078,0.020573,0.012530,0.003019,0.002739,0.000665,0.000725,1.00000000e-04
6,0.021214,0.012896,0.020597,0.012616,0.003085,0.001399,0.000738,0.000804,1.00000000e-04
7,0.020860,0.012793,0.020088,0.012276,0.003857,0.002585,0.000919,0.000954,1.00000000e-04
8,0.020787,0.012647,0.019586,0.011990,0.006004,0.003284,0.001142,0.001031,1.00000000e-04
9,0.020448,0.012445,0.019506,0.012027,0.004707,0.002092,0.001055,0.001111,1.00000000e-04
10,0.020055,0.012611,0.018750,0.012163,0.006525,0.002237,0.001500,0.001523,1.00000000e-04
11,0.019265,0.012136,0.018249,0.011620,0.005079,0.002581,0.001453,0.001708,1.00000000e-04
12,0.019187,0.012118,0.016904,0.011338,0.011419,0.003898,0.002164,0.002277,1.00000000e-04
13,0.018897,0.011977,0.017274,0.011710,0.008117,0.001335,0.002186,0.001591,1.00000000e-04
14,0.018324,0.011935,0.016533,0.011488,0.008952,0.002237,0.002177,0.002440,1.00000000e-04
15,0.018479,0.011499,0.016821,0.010864,0.008286,0.003177,0.002380,0.002060,1.00000000e-04
16,0.018852,0.011777,0.016197,0.011515,0.013274,0.001312,0.002621,0.002241,1.00000000e-04
17,0.018866,0.011687,0.017526,0.011108,0.006697,0.002891,0.002119,0.001552,1.00000000e-04
18,0.018390,0.011518,0.016932,0.010750,0.007291,0.003837,0.002406,0.002539,1.00000000e-04
19,0.018199,0.011442,0.016704,0.011061,0.007476,0.001908,0.002621,0.002372,1.00000000e-04
20,0.017384,0.011228,0.015908,0.010637,0.007377,0.002957,0.002731,0.002549,1.00000000e-04
21,0.017642,0.011273,0.016270,0.010836,0.006857,0.002187,0.002552,0.002651,1.00000000e-04
22,0.018267,0.011399,0.016913,0.010698,0.006771,0.003503,0.002822,0.003214,1.00000000e-04
23,0.017986,0.011396,0.016255,0.010496,0.008659,0.004497,0.002815,0.002045,1.00000000e-04
24,0.017881,0.011316,0.016274,0.010553,0.008034,0.003817,0.002641,0.002089,5.00000000e-05
25,0.017434,0.011110,0.016312,0.010444,0.005612,0.003327,0.002645,0.002575,5.00000000e-05
26,0.017517,0.011104,0.015916,0.010551,0.008002,0.002768,0.003201,0.003095,5.00000000e-05
27,0.017960,0.011077,0.016439,0.010399,0.007604,0.003391,0.003052,0.002665,5.00000000e-05
28,0.017511,0.011090,0.016250,0.010603,0.006303,0.002436,0.002728,0.002974,5.00000000e-05
29,0.017985,0.011031,0.016235,0.010450,0.008749,0.002904,0.003082,0.003100,5.00000000e-05
30,0.017264,0.011054,0.015436,0.010661,0.009144,0.001962,0.003138,0.002739,5.00000000e-05
31,0.017852,0.011066,0.016065,0.010695,0.008934,0.001855,0.002701,0.003000,5.00000000e-05
32,0.017078,0.010959,0.015582,0.010470,0.007479,0.002448,0.003176,0.003207,5.00000000e-05
33,0.018017,0.011042,0.016143,0.010700,0.009372,0.001712,0.003170,0.002930,5.00000000e-05
34,0.018074,0.011007,0.016475,0.010507,0.007994,0.002502,0.002840,0.002672,5.00000000e-05
35,0.017344,0.010847,0.016064,0.010161,0.006400,0.003432,0.002842,0.003241,5.00000000e-05
36,0.018025,0.010959,0.015885,0.010400,0.010698,0.002797,0.003165,0.002713,5.00000000e-05
37,0.017404,0.010840,0.016093,0.010150,0.006554,0.003449,0.002837,0.002980,5.00000000e-05
